"","ACCNIS","BUTBUT","MILMIG","ACCGEN","CIRCYA","ATHNOC","FALSUB","CIRAER","ASIOTU","STRALU","CIRPYG","MILMIL","CIRGAL","FALPER","GYPFUL","FALTIN","PERAPI"
"010265P01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010265P02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010265P03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010265P04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010265P05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010265P06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010265P07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010265P08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010265P09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010265P10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010295P01",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010295P02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010295P03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010295P04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010295P05",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010295P06",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010295P07",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010295P08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010295P09",1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"010295P10",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010492P01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010492P02",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"010492P03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"010492P04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010492P05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010492P06",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"010492P07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010492P08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010492P09",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010492P10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010511P01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010511P02",0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010511P03",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"010511P04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010511P05",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010511P06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010511P07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010511P08",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"010511P09",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010511P10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"010521P01",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010521P02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"010521P03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"010521P04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010521P05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"010521P06",0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"010521P07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010521P08",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010521P09",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010521P10",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010539P01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010539P02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010539P03",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010539P04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010539P05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010539P06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010539P07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010539P08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010539P09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010539P10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010623P01",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010623P02",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010623P03",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010623P04",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010623P05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010623P06",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010623P07",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010623P08",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010623P09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"010623P10",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010840P01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010840P02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010840P03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010840P04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010840P05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010840P06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010840P07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010840P08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010840P09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010840P10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010873P01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010873P02",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"010873P03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"010873P04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010873P05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010873P06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010873P07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"010873P08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"010873P09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"010873P10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010884P01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010884P02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"010884P03",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"010884P04",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010884P05",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010884P06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010884P07",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"010884P08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010884P09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010884P10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010914P01",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010914P02",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010914P03",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010914P04",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010914P05",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"010914P06",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"010914P07",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"010914P08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010914P09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010914P10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010916P01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010916P02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010916P03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010916P04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010916P05",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010916P06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010916P07",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010916P08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010916P09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010916P10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010935P01",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010935P02",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010935P03",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"010935P04",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010935P05",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010935P06",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"010935P07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"010935P08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"010935P09",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"010935P10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"010947P01",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"010947P02",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010947P03",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"010947P04",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010947P05",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010947P06",1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010947P07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"010947P08",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"010947P09",0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"010947P10",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"010952P01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
