"","ID_point","ID_carre","nb_sp","altitude","NDVI_mean_250","NDVI_var_250","CLC_250","CLC_500","Contains_Water_250","Contains_Forest_250","Contains_Urban_250","Contains_Agri_250","Temp_range","Precip","Dist_1_bat","Bt_v_250","Bt_v_500","nb_sp_carre","prop_sp","Dist_1_bat_log","Bt_v_250_quart","Bt_v_500_quart"
"1","010295P01","010295",6,-0.242323880033878,0.717138077759275,-0.626983308953448,"Agriculture","Agriculture","0","0","0","1",0.631719783794266,1.31470593921508,73.3407908457903,14445.2821018705,19237.1399999671,31,0.193548387096774,4.29511694586552,"3","3"
"2","010295P02","010295",8,-0.186329886711507,-0.348874119021423,-0.409764841829103,"Agriculture","Agriculture","0","0","1","1",0.631719783794266,1.26022734520957,25.4253635560142,58482.3400040551,202501.548754821,31,0.258064516129032,3.23574724098733,"4","4"
"3","010295P03","010295",9,-0.164554444863918,0.035528060583034,-0.835032955925454,"Agriculture","Agriculture","0","1","0","1",0.631719783794266,1.29918993191082,7.5757013245057,501.580000001471,22943.7097082321,31,0.290322580645161,2.02494593120295,"1","3"
"4","010295P04","010295",4,-0.155222112643523,1.01618761348107,-0.678729309603762,"Forest and natural","Forest and natural","0","1","0","0",0.631719783794266,1.3681499643742,464.704562873942,0,400.400000002235,31,0.129032258064516,6.14140185500968,"0","1"
"5","010295P05","010295",6,-0.16144366745712,0.217162417324717,0.493334264207633,"Forest and natural","Forest and natural","0","1","0","1",0.671129278992649,1.35470267386412,222.445497088089,1811.00499999896,6321.67499999155,31,0.193548387096774,5.40468211469199,"1","2"
"6","010295P06","010295",9,-0.195662218931902,0.0793911181514299,-0.546075179762865,"Agriculture","Agriculture","0","1","0","1",0.631719783794266,1.37021868116838,29.7799196462919,7017.46500008879,20790.450000116,31,0.290322580645161,3.39383432900816,"2","3"
"7","010295P07","010295",8,-0.208105328559095,0.278335581492929,-0.57096599626061,"Agriculture","Agriculture","0","0","0","1",0.631719783794266,1.40435398141747,75.7766859259502,2075.03327235753,7950.69000002323,31,0.258064516129032,4.32779067180161,"1","2"
"8","010295P08","010295",8,-0.223659215593087,0.541922510588527,-0.640110016798407,"Agriculture","Agriculture","0","0","0","1",0.631719783794266,1.33608338091929,65.8570367145398,7872.33000002963,30114.0450000028,31,0.258064516129032,4.18748628223023,"3","3"
"9","010295P09","010295",9,-0.18010833189791,0.353072586878201,-0.794212171146911,"Agriculture","Agriculture","0","0","0","1",0.631719783794266,1.37021868116838,25.0015894840823,19366.1746753873,33530.0408878709,31,0.290322580645161,3.21893940221041,"3","3"
"10","010295P10","010295",9,-0.183219109304708,0.753373172445956,-0.767048938298533,"Agriculture","Agriculture","0","0","0","1",0.631719783794266,1.29884521592822,23.7098020370018,14582.1599999501,27029.1749999821,31,0.290322580645161,3.16588855069627,"3","3"
"11","010511P01","010511",22,-0.304539428169845,-0.216436562245979,-0.0757084108988002,"Agriculture","Agriculture","0","0","0","1",0.749948269389451,0.107560444674011,41.2150721534137,27106.1686360728,42670.2999999309,43,0.511627906976744,3.71880401842273,"3","3"
"12","010511P02","010511",14,-0.35431186667862,-0.0460298481632071,-0.168808794996401,"Agriculture","Agriculture","0","0","0","1",0.789357012914207,0.0965267973900112,345.676582341846,0,7824.44000012142,43,0.325581395348837,5.84550360480625,"0","2"
"13","010511P03","010511",17,-0.298317873356249,-0.778185104744624,-0.0367017512701035,"Agriculture","Agriculture","0","0","0","1",0.789357012914207,0.139971533662223,404.471218962285,0,9179.52999995998,43,0.395348837209302,6.00258058183432,"0","2"
"14","010511P04","010511",13,-0.310760982983442,-0.273024008466339,1.03718011722042,"Agriculture","Agriculture","0","0","0","1",0.789357012914207,0.139971533662223,573.072825626317,0,0,43,0.302325581395349,6.3510128039727,"0","0"
"15","010511P05","010511",25,-0.301428650763047,-0.715118613969681,-0.193131584923069,"Agriculture","Agriculture","0","0","0","1",0.749948269389451,0.107560444674011,91.5371161808301,10471.2149999401,16637.6881822655,43,0.581395348837209,4.51674453135182,"3","2"
"16","010511P06","010511",17,-0.279653208915458,0.0715097183645086,0.309489406284644,"Agriculture","Agriculture","0","0","0","1",0.789357012914207,0.152729392207104,195.947426539392,3404.89000001154,12305.3217963908,43,0.395348837209302,5.27784639130802,"2","2"
"17","010511P07","010511",26,-0.304539428169845,-0.441418345513734,0.727662645146298,"Agriculture","Agriculture","0","0","0","1",0.749948269389451,0.195139559632928,36.509099758602,6830.41000005091,19331.2766043727,43,0.604651162790698,3.59756153797111,"2","3"
"18","010511P08","010511",14,-0.279653208915458,-0.25864456833823,-0.0744706050570114,"Agriculture","Agriculture","0","0","0","1",0.789357012914207,0.20375956369085,241.330552007644,1757.2997570451,21982.5876495222,43,0.325581395348837,5.48616757882099,"1","3"
"19","010511P09","010511",16,-0.323204092610636,0.0484429081366902,-0.00496979216773068,"Agriculture","Agriculture","0","0","0","1",0.789357012914207,0.183416690833027,440.405693480967,0,5262.13999996718,43,0.372093023255814,6.08769633274172,"0","1"
"20","010511P10","010511",15,-0.273431654101862,-0.247172376710971,-0.256544290360429,"Agriculture","Agriculture","0","0","0","1",0.749948269389451,0.22341342548207,191.17702248492,2358.08447757662,23871.9443270805,43,0.348837209302326,5.2531998181076,"2","3"
"21","010521P01","010521",25,-0.201883773745499,-0.701383854241509,-0.178121103829479,"Agriculture","Agriculture","1","0","0","1",0.710538774191031,0.525113567509362,48.8914500769235,3637.79000000982,8570.4500000414,42,0.595238095238095,3.88960253614096,"2","2"
"22","010521P02","010521",22,-0.1987729963387,-0.0350967273332936,-0.222999548264984,"Urban","Agriculture","1","0","1","1",0.710538774191031,0.525113567509362,103.634375643792,14987.4650000253,49756.9749999188,42,0.523809523809524,4.64086908602172,"3","3"
"23","010521P03","010521",22,-0.211216105965894,-0.267176660952951,-0.12514838945501,"Agriculture","Agriculture","0","0","0","1",0.671129278992649,0.508562991358714,52.5671303485678,2913.49459933214,39713.076853759,42,0.523809523809524,3.96209102609713,"2","3"
"24","010521P04","010521",22,-0.1987729963387,-0.136779408504671,-0.458896436150311,"Agriculture","Agriculture","0","0","0","1",0.671129278992649,0.508562991358714,51.2016342322844,3076.68500000169,76348.9648583983,42,0.523809523809524,3.93577145013538,"2","4"
"25","010521P05","010521",19,-0.208105328559095,-0.320851739395115,-0.240681027915453,"Agriculture","Agriculture","0","0","1","1",0.671129278992649,0.525113567509362,29.1269609741256,14344.0100000413,33679.9050000952,42,0.452380952380952,3.37166423920304,"3","3"
"26","010521P06","010521",23,-0.208105328559095,0.725625796042219,-0.734565887887002,"Forest and natural","Forest and natural","0","1","1","1",0.671129278992649,0.501666988112376,40.7706491377944,12486.6797867376,89311.907032219,42,0.547619047619048,3.70796243865178,"3","4"
"27","010521P07","010521",21,-0.189440664118305,-0.236232916690802,-1.03852509173358,"Urban","Urban","0","1","1","1",0.671129278992649,0.506149558581933,16.5339491784069,133259.934237124,197710.740000194,42,0.5,2.80541579306302,"4","4"
"28","010521P08","010521",26,-0.220548438186289,-0.0852063198664203,-0.586883832720741,"Agriculture","Agriculture","0","1","1","1",0.671129278992649,0.506149558581933,51.2819809553655,13225.1968120375,78458.9299999214,42,0.619047619047619,3.93733944204112,"3","4"
"29","010521P09","010521",22,-0.204994551152297,0.710281295888517,-0.509983444851474,"Agriculture","Agriculture","0","1","0","1",0.671129278992649,0.510286992170298,353.131354538296,0,20876.2367962234,42,0.523809523809524,5.86684009689149,"0","3"
"30","010521P10","010521",21,-0.1987729963387,-0.223187473104254,-0.645019710602548,"Agriculture","Agriculture","0","0","0","1",0.671129278992649,0.515458994605052,211.547079850913,1691.82999995456,20272.7688974349,42,0.5,5.35444757348259,"1","3"
"31","010914P01","010914",9,-0.189440664118305,-1.33089492044386,0.812136994682883,"Agriculture","Agriculture","0","0","0","1",1.06522272762937,1.40883613098844,355.889502831918,0,6088.72566035311,43,0.209302325581395,5.87462029736894,"0","2"
"32","010914P02","010914",4,-0.170775999677515,-1.25837806940202,0.757055007154214,"Agriculture","Agriculture","0","0","0","1",1.06522272762937,1.48193401793878,319.959292692285,0,4599.23500007507,43,0.0930232558139535,5.76819377736524,"0","1"
"33","010914P03","010914",15,-0.173886777084313,-0.367627643993201,-0.125798811979103,"Agriculture","Agriculture","0","0","0","1",1.02581323243099,1.60261407474969,191.788918546342,864.625000027008,2155.385000095,43,0.348837209302326,5.25639538469234,"1","1"
"34","010914P04","010914",3,-0.18010833189791,-1.3596692238846,0.141723270302055,"Agriculture","Agriculture","0","0","0","1",1.06522272762937,1.48193401793878,378.349335754664,0,496.250000023283,43,0.0697674418604651,5.93581793750179,"0","1"
"35","010914P05","010914",14,-0.186329886711507,-1.95155674935343,-0.563371922151508,"Agriculture","Agriculture","0","0","1","1",1.06522272762937,1.38470011962625,180.868573507634,496.250000023283,496.250000023283,43,0.325581395348837,5.19777065430045,"1","1"
