"","Code_sp","Nom_fr","Model quality","Sensitivity to buildings","MCC_base","MCC_dist","Spearman_base","Spearman_dist","PPV_base","PPV_dist","NPV_base","NPV_dist"
"1","ALAARV","Alouette des champs","Good","No","0.551876057083969","0.570708768183957","0.500675460147231","0.524967377163513","0.489522463733425","0.51782979357785","0.900148078058477","0.901619070394763"
"2","ANTTRI","Pipit des arbres","Good","Yes","0.315423557922614","0.3486756840442","0.221461319730922","0.263463296087194","0.277915068366174","0.294693931263613","0.861215596948311","0.868571840248825"
"3","APUAPU","Martinet noir","Good","No","0.452403280954569","0.4747716123815","0.317574675800865","0.362021114942759","0.49829296376388","0.489529944370003","0.840718322816538","0.850473768785949"
"4","BUTBUT","Buse variable","Good","No","0.476086548965302","0.492067324317035","0.222873172690461","0.272499293207951","0.413132886392892","0.439251354086554","0.777624142588516","0.795684863940913"
"5","CARCAN","Linotte mélodieuse","Good","No","0.303166109370635","0.303132560834861","0.268805436135115","0.268107690341155","0.316080798240078","0.31110701008314","0.862441952303528","0.862315289643121"
"6","CARCAR","Chardonneret élégant","Good","Yes","0.435974249052425","0.49938399302484","0.272409286047841","0.38627286756738","0.394608956993191","0.456227049340367","0.817355551656859","0.854879383903396"
"7","CARCHL","Verdier d'Europe","Good","Yes","0.485503369402699","0.533975132793904","0.308332136235161","0.412514215668741","0.403547178607789","0.497147475399833","0.822221920721379","0.847394086700752"
"8","CERBRA","Grimpereau des jardins","Good","No","0.500416821996208","0.502300554054452","0.330327375654484","0.334292968699545","0.435446309782371","0.438401611803376","0.819527521264979","0.82245593999075"
"9","COLPAL","Pigeon ramier","Bad","Yes","0.137513263592598","0.157898522215962","0.269388911580426","0.316971326123948","0.617869399683113","0.619453711921887","0.85785890774053","0.814816550869821"
"10","CORCOR","Corneille noire","Good","Yes","0.278891411119331","0.335763878798806","0.184461770882549","0.223771816417173","0.493167469874783","0.505013086988859","0.776571325271771","0.770342526690552"
"11","CORMON","Choucas des tours","Bad","Yes","0.0238418285321187","0.0368767301885177","0.142632509406176","0.165713579559077","0.0561201673713284","0.177031746031746","0.968934322552172","0.969023134484986"
"12","DELURB","Hirondelle de fenêtre","Good","Yes","0.152733183762403","0.270957985438696","0.182110484418895","0.249471583725882","0.19740569852516","0.293382818620709","0.916351713965334","0.925764085080065"
"13","DENMAJ","Pic épeiche","Good","No","0.511742814943717","0.51302838171089","0.350510371228822","0.351345733190681","0.469207194622295","0.470689533482319","0.793505627264403","0.796453047192895"
"14","DENMED","Pic mar","Bad","No","0.0330049350634611","0.0328110687583774","0.174820737400006","0.17636904245337","0.0987823287823288","0.109940809190809","0.979215998158678","0.979206944722182"
"15","DRYMAR","Pic noir","Bad","Yes","0.0245007123019339","0.0265955952269778","0.165233029917789","0.167185456380048","0.065","0.0883333333333333","0.970457224056457","0.970463792509171"
"16","EMBCIR","Bruant zizi","Good","Yes","0.33985836185472","0.389468828093004","0.279079549883833","0.308188251451309","0.370731888700761","0.374127807527584","0.848586597483686","0.860437140044238"
"17","EMBCIT","Bruant jaune","Good","Yes","0.427427872037839","0.454049491211069","0.258579862074447","0.299635196863178","0.31335195053399","0.342410100751353","0.840906919150275","0.867091213207432"
"18","ERIRUB","Rougegorge familier","Good","No","0.335851968365284","0.342595692748385","0.457528951870007","0.461297348302876","0.581169352085011","0.583113410903749","0.798680354416856","0.800081130016805"
"19","FALTIN","Faucon crécerelle","Good","Yes","0.200530476058506","0.244900594817585","0.240835605252762","0.251835273267727","0.317565300619949","0.364760289661183","0.811374111631584","0.816192981069556"
"20","FRICOE","Pinson des arbres","Bad","No","0.0295445623372041","0.0242904483168138","0.342093622493432","0.352355274032404","0.794067024549087","0.794101413424436","0.12","0.321666666666667"
"21","GARGLA","Geai des chênes","Good","No","0.498217042760192","0.499915115106603","0.280758239999886","0.287476663547919","0.44338765306388","0.44683851997781","0.775547652879229","0.778063847596579"
"22","HIPPOL","Hypolaïs polyglotte","Good","No","0.416879871174582","0.43114306262641","0.219436271113847","0.263264449649033","0.297416086059626","0.328918584211307","0.83944492574283","0.849604094776385"
"23","HIRRUS","Hirondelle rustique","Good","Yes","0.423558380269738","0.505044106711427","0.35633679686254","0.43742551345458","0.476647701956666","0.51830896305991","0.864020777835097","0.819096640911252"
"24","LANCOL","Pie-grièche écorcheur","Bad","Yes","0.108698052722521","0.160677769496403","0.242927276414517","0.258279419519136","0.129253250766613","0.205195889296485","0.903880404993933","0.906876090280498"
"25","LOXCUR","Bec-croisé des sapins","Bad","No","0.161258673126302","0.15497093870639","0.133423373399856","0.133243539603102","0.238733987903533","0.227512812062677","0.993223675719849","0.993187126089101"
"26","LULARB","Alouette lulu","Good","Yes","0.305836399489472","0.344051293463743","0.276283907267753","0.290555125026542","0.356810404889832","0.397271780033301","0.905532206363425","0.910413186591806"
"27","LUSMEG","Rossignol philomèle","Good","Yes","0.432715113190099","0.45900005464676","0.360174512526286","0.389024053381747","0.423727162792723","0.439275992229688","0.866399367124944","0.861953843118775"
"28","MILMIG","Milan noir","Good","No","0.254217947874397","0.261517969975219","0.236949038667766","0.2395082113748","0.341518005849468","0.351436935679841","0.857571271885695","0.858521135459402"
"29","MOTALB","Bergeronnette grise","Good","Yes","0.268102539949304","0.386751923067708","0.20027218958096","0.274041400478111","0.338473885940728","0.375606272692988","0.819514400594258","0.842545243736959"
"30","ORIORI","Loriot d'Europe","Good","No","0.258583992389104","0.270680004127096","0.267015645946526","0.2742904586727","0.364912918495958","0.364821894149658","0.867352075844529","0.868767677698857"
"31","PARATE","Mésange noire","Good","No","0.662884897880924","0.66262072955158","0.473905768696429","0.473530027892984","0.679922164821843","0.680146996303566","0.960393966616307","0.960303732958995"
"32","PARCAE","Mésange bleue","Good","Yes","0.171199256344831","0.238954126901912","0.290857978619028","0.323630861299743","0.571774247357316","0.582566700504494","0.760092275731666","0.816447237917118"
"33","PARCRI","Mésange huppée","Good","No","0.346176209467718","0.355531195786319","0.301993973667604","0.306003213518423","0.419773842006756","0.421626818202221","0.943526101984642","0.944509745521897"
"34","PARMAJ","Mésange charbonnière","Bad","Yes","0.0256111536792436","0.0415573902506969","0.318730729092698","0.36549409412796","0.730285640937099","0.730683907102846","0.28","0.749396825396825"
"35","PARPAL","Mésange nonnette","Good","No","0.248490753870141","0.249257362702385","0.308145969442441","0.309080911439629","0.288337901072478","0.285502401830101","0.891192461061589","0.891257624506324"
"36","PASDOM","Moineau domestique","Good","Yes","0.433842302652592","0.623705495436298","0.377588768634051","0.601900764653516","0.408386842146693","0.601485723968387","0.895205905727306","0.908230772613018"
"37","PASMON","Moineau friquet","Bad","Yes","0.0123211960134211","0.0316964118988479","0.127981880791568","0.135675713011975","0.0595","0.130814425770308","0.973895887683833","0.973995043889956"
"38","PHACOL","Faisan de Colchide","Bad","No","0.0264022290776928","0.00506375100119077","0.20298075532818","0.211635717928782","0.145","0","0.899231983051728","0.899198461448015"
"39","PHOOCH","Rougequeue noir","Good","Yes","0.498637544924997","0.616018740636894","0.369231466423093","0.569326767309902","0.419387446153809","0.574513553446335","0.860697164599668","0.918750742982251"
"40","PHOPHO","Rougequeue à front blanc","Good","Yes","0.0790662308906616","0.285043924170788","0.142247308267638","0.240277586462757","0.142827222016735","0.314560477852035","0.890582923655661","0.905570232235217"
"41","PHYBON","Pouillot de Bonelli","Good","Yes","0.187793411494487","0.202082770647035","0.202266891703191","0.211199065726918","0.221039193928005","0.237802422670328","0.949303453487283","0.950046259316522"
"42","PHYCOL","Pouillot véloce","Good","Yes","0.283173031198748","0.308181690728727","0.409151795984833","0.425923344929472","0.577978999593224","0.583114295652265","0.821685539687016","0.812346884712401"
"43","PHYSIB","Pouillot siffleur","Good","Yes","0.204522589274163","0.216748894797824","0.240027972942103","0.241903764974188","0.245168780928938","0.254408024888252","0.96774961444466","0.968246954563902"
"44","PHYTRO","Pouillot fitis","Bad","Yes","0.0298113460716196","0.0399076881277706","0.135135789993782","0.146747839877345","0.0742511688219051","0.0856161870068683","0.967035915415407","0.967149428780441"
"45","PICPIC","Pie bavarde","Good","Yes","0.487163922572679","0.540437624355539","0.343379438224268","0.449865058872239","0.435243658257254","0.496651287317456","0.82597379584776","0.868284337580461"
"46","PICVIR","Pic vert","Good","Yes","0.172470164124749","0.229645059695638","0.199075844778313","0.225629382047574","0.281077340352222","0.316075187788565","0.806971519563518","0.811345930088686"
"47","PRUMOD","Accenteur mouchet","Good","No","0.419903915635992","0.431928307295621","0.316202885122595","0.322777360647289","0.437527619406482","0.449187937745242","0.830023123520207","0.834319142762394"
"48","PYRPYR","Bouvreuil pivoine","Good","No","0.247227886147597","0.246687768001014","0.25591480502754","0.256765872460058","0.416072372401502","0.409329997629277","0.957651959514285","0.957697539166482"
"49","REGIGN","Roitelet à triple bandeau","Good","No","0.418520671487536","0.417294719110772","0.339402087151862","0.338917394480773","0.4578304449637","0.45430073992088","0.884695152605972","0.884524163501807"
"50","REGREG","Roitelet huppé","Good","No","0.43845250937355","0.436948546591461","0.323346699015442","0.323401873221609","0.493426893300743","0.490914748876435","0.947625425308922","0.947526519728988"
"51","SAXTOR","Tarier pâtre","Bad",NA,"NaN","0.101174285522498","0.154870688198993","0.210094490247674","0","0.217887140041502","0.847731534415733","0.848742600347689"
"52","SITEUR","Sittelle torchepot","Good","No","0.475359922156006","0.475513989007985","0.366246283936912","0.366186825511323","0.442060646370551","0.441690594766196","0.859963296168459","0.86011368971937"
"53","STRDEC","Tourterelle turque","Good","Yes","0.493701331749182","0.588726688839454","0.374222980911078","0.539302107956446","0.409973915564378","0.542955470221759","0.871150937990639","0.906225464680124"
"54","STRTUR","Tourterelle des bois","Good","No","0.375221055793681","0.388483362151298","0.265419292430471","0.275010055173189","0.338950615737848","0.345470908735751","0.844658233977754","0.848776321751433"
"55","STUVUL","Étourneau sansonnet","Good","Yes","0.440897497901046","0.498481465631353","0.273024490593324","0.364775411650924","0.447823985916809","0.488059753013124","0.804471410304362","0.799785224567798"
"56","SYLATR","Fauvette à tête noire","Bad",NA,"NaN","0.0321799859671104","0.314349632123253","0.323204200262584","0.803706837411388","0.803780457298044","0","0.349"
"57","SYLBOR","Fauvette des jardins","Bad","No","0.110384893596666","0.111937661863339","0.14313755194098","0.151996685740905","0.234880626311595","0.238089832454571","0.867025546422787","0.86709950640058"
"58","SYLCOM","Fauvette grisette","Good","No","0.468941588057664","0.486805061613098","0.321617474219614","0.348490372044161","0.403768522765751","0.419574944366192","0.875831696597451","0.871216506413984"
"59","TROTRO","Troglodyte mignon","Good","Yes","0.327899262450306","0.344506134355849","0.433029926818741","0.438393034183824","0.563534545974147","0.568734848338101","0.843817382167568","0.848824154433965"
"60","TURMER","Merle noir","Bad",NA,"NaN","0.0330146516843172","0.203620048173194","0.270531719600343","0.808804024697004","0.808842111810305","0","0.176"
"61","TURPHI","Grive musicienne","Good","No","0.509465861429156","0.513513856154909","0.390240150818672","0.394531335380667","0.495197402423024","0.500862236945644","0.789725751753845","0.79379009045416"
"62","TURVIS","Grive draine","Good","No","0.336551357459893","0.34137854060353","0.303892975868628","0.306473223323857","0.438166428650202","0.438446512503264","0.861498076391379","0.862348950335293"
